tracking_number,package_type,carrier,weight_kg,length_cm,width_cm,height_cm,volume_cm3,origin_city,origin_state,origin_zip,destination_city,destination_state,destination_zip,current_status,estimated_delivery,actual_delivery,special_handling,insurance_value,signature_required,description
USP422976494,Overnight,USPS,7.62,29.3,59.12,41.3,71540.52,person personperson,Connecticut,09500,person personperson,Maryland,72847,PackageStatus.IN_TRANSIT,2025-05-12 14:42:33,,False,,True,"Overnight package weighing 7.62kg, dimensions: 29.3x59.12x41.3cm, volume: 71540.52cm³"
DHL697326446,Express,DHL,48.91,28.03,24.25,92.23,62691.27,personperson,New York,96492,personperson,Louisiana,04858,PackageStatus.IN_TRANSIT,2025-05-14 01:27:09,,False,,False,"Express package weighing 48.91kg, dimensions: 28.03x24.25x92.23cm, volume: 62691.27cm³"
Ama480087524,Refrigerated,Amazon Logistics,5.96,71.29,74.99,49.12,262597.34,personperson,Maryland,23932,person person,Illinois,34732,PackageStatus.DELIVERED,2025-05-03 12:53:16,,True,,True,"Refrigerated package weighing 5.96kg, dimensions: 71.29x74.99x49.12cm, volume: 262597.34cm³"
USP318034707,Hazardous Materials,USPS,48.16,96.61,26.58,49.1,126083.59,personperson,Delaware,78200,personperson,Hawaii,81471,PackageStatus.DELIVERED,2025-05-15 10:45:03,,True,,True,"Hazardous Materials package weighing 48.16kg, dimensions: 96.61x26.58x49.1cm, volume: 126083.59cm³"
UPS596470653,International,UPS,33.21,90.0,82.33,41.54,307798.94,personperson,West Virginia,94251,person person,Massachusetts,09900,PackageStatus.DELIVERED,2025-05-15 12:01:12,,False,,True,"International package weighing 33.21kg, dimensions: 90.0x82.33x41.54cm, volume: 307798.94cm³"
Fed929002730,Priority,FedEx,17.62,62.07,8.46,68.05,35733.89,personperson,Kentucky,77759,personperson,Tennessee,28732,PackageStatus.IN_TRANSIT,2025-05-11 00:28:51,,False,,False,"Priority package weighing 17.62kg, dimensions: 62.07x8.46x68.05cm, volume: 35733.89cm³"
DHL558043976,Express,DHL,1.85,34.83,81.72,25.19,71698.49,personperson,Nevada,79842,personperson,Massachusetts,01343,PackageStatus.EXCEPTION,2025-05-11 04:06:55,,False,,False,"Express package weighing 1.85kg, dimensions: 34.83x81.72x25.19cm, volume: 71698.49cm³"
Ama566733430,Hazardous Materials,Amazon Logistics,31.44,66.4,57.46,22.13,84433.56,personperson,South Dakota,14517,person person,Alaska,08595,PackageStatus.IN_TRANSIT,2025-05-10 11:57:17,,True,,True,"Hazardous Materials package weighing 31.44kg, dimensions: 66.4x57.46x22.13cm, volume: 84433.56cm³"
USP370758521,Express,USPS,35.01,46.04,69.77,34.63,111238.86,personperson,New Mexico,49606,personperson,Utah,83394,PackageStatus.IN_TRANSIT,2025-05-05 00:50:24,,False,4437.91,False,"Express package weighing 35.01kg, dimensions: 46.04x69.77x34.63cm, volume: 111238.86cm³"
Ama973802824,Priority,Amazon Logistics,2.94,89.03,47.56,62.95,266547.1,person person,California,97986,person person,Oklahoma,49719,PackageStatus.IN_TRANSIT,2025-05-14 13:35:02,,False,,False,"Priority package weighing 2.94kg, dimensions: 89.03x47.56x62.95cm, volume: 266547.1cm³"
USP874021803,Overnight,USPS,30.15,33.6,92.11,97.54,301876.16,person personperson,Rhode Island,52484,personperson,Missouri,35115,PackageStatus.PROCESSING,2025-05-07 09:36:35,,False,,False,"Overnight package weighing 30.15kg, dimensions: 33.6x92.11x97.54cm, volume: 301876.16cm³"
DHL42636805,Express,DHL,11.55,38.55,39.79,68.39,104903.73,person personperson,Arizona,46775,personperson,Minnesota,18320,PackageStatus.IN_TRANSIT,2025-05-15 12:17:03,,False,,True,"Express package weighing 11.55kg, dimensions: 38.55x39.79x68.39cm, volume: 104903.73cm³"
Ama324330276,Fragile,Amazon Logistics,22.25,14.48,24.03,27.8,9673.13,person person,Minnesota,84209,personperson,Colorado,88949,PackageStatus.RETURNED,2025-05-04 00:02:48,,True,,False,"Fragile package weighing 22.25kg, dimensions: 14.48x24.03x27.8cm, volume: 9673.13cm³"
Fed955481677,Express,FedEx,49.74,28.42,30.33,33.55,28919.38,person person,New Hampshire,43471,person personperson,Idaho,62885,PackageStatus.OUT_FOR_DELIVERY,2025-05-10 00:14:09,,False,3994.25,True,"Express package weighing 49.74kg, dimensions: 28.42x30.33x33.55cm, volume: 28919.38cm³"
DHL940952498,International,DHL,12.3,70.94,88.41,59.2,371290.88,person person,New York,91597,person person,Florida,00768,PackageStatus.DELIVERED,2025-05-01 05:04:39,,False,627.18,True,"International package weighing 12.3kg, dimensions: 70.94x88.41x59.2cm, volume: 371290.88cm³"
USP670189140,Priority,USPS,26.65,47.14,83.33,16.67,65482.7,person personperson,Kentucky,49242,personperson,Illinois,73618,PackageStatus.IN_TRANSIT,2025-05-12 11:07:45,,False,,False,"Priority package weighing 26.65kg, dimensions: 47.14x83.33x16.67cm, volume: 65482.7cm³"
USP894947645,Refrigerated,USPS,31.07,94.35,10.62,45.57,45661.0,person personperson,Massachusetts,73534,personperson,Virginia,08836,PackageStatus.DELIVERED,2025-05-14 07:31:18,,True,,False,"Refrigerated package weighing 31.07kg, dimensions: 94.35x10.62x45.57cm, volume: 45661.0cm³"
Fed407906546,Fragile,FedEx,47.59,73.76,61.93,8.48,38736.27,personperson,Colorado,70564,person person,Louisiana,19804,PackageStatus.DELIVERED,2025-05-03 06:46:09,,True,,False,"Fragile package weighing 47.59kg, dimensions: 73.76x61.93x8.48cm, volume: 38736.27cm³"
Fed860176006,Fragile,FedEx,25.23,25.36,7.52,66.39,12661.05,personperson,Idaho,10882,personperson,Michigan,66098,PackageStatus.IN_TRANSIT,2025-05-09 23:48:40,,True,,False,"Fragile package weighing 25.23kg, dimensions: 25.36x7.52x66.39cm, volume: 12661.05cm³"
USP415169353,Priority,USPS,22.23,30.57,64.59,54.88,108361.45,person personperson,New Jersey,25374,person person,Michigan,10882,PackageStatus.IN_TRANSIT,2025-05-04 05:28:02,,False,,False,"Priority package weighing 22.23kg, dimensions: 30.57x64.59x54.88cm, volume: 108361.45cm³"
Ama93759453,Hazardous Materials,Amazon Logistics,14.44,14.07,55.57,68.34,53432.99,person personperson,Colorado,07808,person person,Louisiana,24398,PackageStatus.DELIVERED,2025-05-09 14:42:52,,True,,True,"Hazardous Materials package weighing 14.44kg, dimensions: 14.07x55.57x68.34cm, volume: 53432.99cm³"
DHL488426317,Hazardous Materials,DHL,34.34,82.99,60.27,64.0,320115.67,personperson,Oregon,27664,person personperson,Kentucky,55911,PackageStatus.IN_TRANSIT,2025-05-03 19:26:02,,True,467.17,False,"Hazardous Materials package weighing 34.34kg, dimensions: 82.99x60.27x64.0cm, volume: 320115.67cm³"
DHL423909136,Hazardous Materials,DHL,41.93,80.67,90.23,48.0,349385.0,personperson,Ohio,43073,person person,North Carolina,27612,PackageStatus.DELIVERED,2025-05-06 08:41:26,,True,,True,"Hazardous Materials package weighing 41.93kg, dimensions: 80.67x90.23x48.0cm, volume: 349385.0cm³"
DHL308949822,Standard,DHL,15.69,36.53,82.47,47.61,143431.27,personperson,Colorado,97737,person personperson,Montana,43642,PackageStatus.RETURNED,2025-05-09 23:36:40,,False,,False,"Standard package weighing 15.69kg, dimensions: 36.53x82.47x47.61cm, volume: 143431.27cm³"
Ama730442026,Fragile,Amazon Logistics,13.84,39.14,14.64,61.98,35515.14,personperson,North Dakota,48508,personperson,Nevada,80216,PackageStatus.OUT_FOR_DELIVERY,2025-05-14 05:53:44,,True,,True,"Fragile package weighing 13.84kg, dimensions: 39.14x14.64x61.98cm, volume: 35515.14cm³"
Fed422822109,Fragile,FedEx,34.0,31.15,84.08,75.64,198108.12,person person,Oregon,62432,person person,Maryland,88384,PackageStatus.OUT_FOR_DELIVERY,2025-05-10 08:03:00,,True,,False,"Fragile package weighing 34.0kg, dimensions: 31.15x84.08x75.64cm, volume: 198108.12cm³"
USP635844820,Fragile,USPS,36.4,54.07,20.84,87.34,98416.35,personperson,Illinois,62119,person person,Wisconsin,06025,PackageStatus.RETURNED,2025-05-02 07:56:40,,True,153.3,False,"Fragile package weighing 36.4kg, dimensions: 54.07x20.84x87.34cm, volume: 98416.35cm³"
USP953830665,Express,USPS,15.9,32.06,89.09,55.94,159777.25,personperson,South Dakota,97096,personperson,Alabama,35358,PackageStatus.EXCEPTION,2025-05-07 09:00:51,,False,,False,"Express package weighing 15.9kg, dimensions: 32.06x89.09x55.94cm, volume: 159777.25cm³"
UPS689314881,Express,UPS,38.3,98.37,92.54,28.92,263263.38,person person,Idaho,68511,personperson,Connecticut,68187,PackageStatus.OUT_FOR_DELIVERY,2025-05-12 14:59:53,,False,,False,"Express package weighing 38.3kg, dimensions: 98.37x92.54x28.92cm, volume: 263263.38cm³"
UPS686627816,Hazardous Materials,UPS,48.19,38.35,60.43,71.01,164565.0,personperson,Arkansas,14861,person personperson,Kentucky,87133,PackageStatus.DELIVERED,2025-05-08 05:19:58,,True,1153.44,False,"Hazardous Materials package weighing 48.19kg, dimensions: 38.35x60.43x71.01cm, volume: 164565.0cm³"
DHL200131192,Fragile,DHL,16.58,35.29,32.2,77.4,87952.56,personperson,Arkansas,29337,personperson,New Mexico,05308,PackageStatus.DELIVERED,2025-05-15 02:57:49,,True,3377.37,False,"Fragile package weighing 16.58kg, dimensions: 35.29x32.2x77.4cm, volume: 87952.56cm³"
Ama315615066,International,Amazon Logistics,20.15,96.96,87.78,71.82,611270.71,personperson,Nevada,89835,person person,West Virginia,45909,PackageStatus.DELIVERED,2025-05-15 19:18:30,,False,3068.68,False,"International package weighing 20.15kg, dimensions: 96.96x87.78x71.82cm, volume: 611270.71cm³"
UPS314118011,Hazardous Materials,UPS,9.26,6.63,95.89,8.65,5499.24,personperson,Virginia,91650,personperson,Oregon,38034,PackageStatus.DELIVERED,2025-05-11 22:47:48,,True,3405.26,True,"Hazardous Materials package weighing 9.26kg, dimensions: 6.63x95.89x8.65cm, volume: 5499.24cm³"
USP481167449,Fragile,USPS,49.04,33.43,63.25,74.1,156680.56,person personperson,Washington,88076,personperson,Arkansas,88102,PackageStatus.DELIVERED,2025-05-16 21:09:31,,True,2225.2,False,"Fragile package weighing 49.04kg, dimensions: 33.43x63.25x74.1cm, volume: 156680.56cm³"
USP891252964,Refrigerated,USPS,15.75,86.44,95.89,96.43,799282.39,personperson,Wisconsin,87016,person personperson,Wisconsin,98209,PackageStatus.IN_TRANSIT,2025-05-11 20:36:45,,True,,False,"Refrigerated package weighing 15.75kg, dimensions: 86.44x95.89x96.43cm, volume: 799282.39cm³"
DHL323374175,Standard,DHL,39.86,17.13,40.96,94.22,66108.97,person person,Maryland,44475,person personperson,New Jersey,35998,PackageStatus.OUT_FOR_DELIVERY,2025-05-04 23:58:08,,False,,False,"Standard package weighing 39.86kg, dimensions: 17.13x40.96x94.22cm, volume: 66108.97cm³"
Fed663189836,Express,FedEx,48.63,96.41,7.95,95.15,72928.62,personperson,Kansas,92741,personperson,Pennsylvania,87173,PackageStatus.OUT_FOR_DELIVERY,2025-05-09 10:03:06,,False,,False,"Express package weighing 48.63kg, dimensions: 96.41x7.95x95.15cm, volume: 72928.62cm³"
Ama933746159,Fragile,Amazon Logistics,49.42,86.3,46.46,89.26,357887.79,personperson,Virginia,93061,person personperson,California,15715,PackageStatus.DELIVERED,2025-05-17 06:02:53,,True,3625.75,False,"Fragile package weighing 49.42kg, dimensions: 86.3x46.46x89.26cm, volume: 357887.79cm³"
Fed718420365,Priority,FedEx,43.74,40.22,14.16,14.12,8041.55,person person,Louisiana,92081,person personperson,Connecticut,76967,PackageStatus.IN_TRANSIT,2025-05-13 09:54:32,,False,,True,"Priority package weighing 43.74kg, dimensions: 40.22x14.16x14.12cm, volume: 8041.55cm³"
Ama958411604,Hazardous Materials,Amazon Logistics,24.39,35.42,54.42,22.11,42618.27,person personperson,North Dakota,43444,person person,New Hampshire,83855,PackageStatus.DELIVERED,2025-05-10 11:34:55,,True,,False,"Hazardous Materials package weighing 24.39kg, dimensions: 35.42x54.42x22.11cm, volume: 42618.27cm³"
DHL783034345,Fragile,DHL,25.28,53.35,37.75,98.95,199281.59,person personperson,Pennsylvania,73371,personperson,North Dakota,03448,PackageStatus.DELIVERED,2025-05-03 07:48:32,,True,,True,"Fragile package weighing 25.28kg, dimensions: 53.35x37.75x98.95cm, volume: 199281.59cm³"
Ama409549757,Express,Amazon Logistics,4.05,17.07,51.61,32.59,28711.23,person person,Utah,57372,personperson,Missouri,79965,PackageStatus.IN_TRANSIT,2025-05-11 23:10:47,,False,,False,"Express package weighing 4.05kg, dimensions: 17.07x51.61x32.59cm, volume: 28711.23cm³"
Fed375192478,Priority,FedEx,11.25,90.95,98.9,93.02,836710.71,person personperson,Massachusetts,18981,personperson,Rhode Island,15614,PackageStatus.IN_TRANSIT,2025-05-17 09:04:39,,False,,False,"Priority package weighing 11.25kg, dimensions: 90.95x98.9x93.02cm, volume: 836710.71cm³"
UPS530576598,Priority,UPS,6.61,18.07,91.99,24.18,40193.43,person personperson,Utah,59347,person person,Georgia,35735,PackageStatus.OUT_FOR_DELIVERY,2025-05-14 21:15:35,,False,,True,"Priority package weighing 6.61kg, dimensions: 18.07x91.99x24.18cm, volume: 40193.43cm³"
USP267171301,Refrigerated,USPS,27.4,29.86,41.81,39.61,49450.97,personperson,Mississippi,21474,personperson,Alaska,25239,PackageStatus.IN_TRANSIT,2025-05-11 08:39:32,,True,,False,"Refrigerated package weighing 27.4kg, dimensions: 29.86x41.81x39.61cm, volume: 49450.97cm³"
Ama826814426,Refrigerated,Amazon Logistics,17.12,25.04,21.86,10.88,5955.43,person person,Vermont,41162,personperson,Maine,86611,PackageStatus.DELIVERED,2025-05-13 05:38:00,,True,,True,"Refrigerated package weighing 17.12kg, dimensions: 25.04x21.86x10.88cm, volume: 5955.43cm³"
Ama803538969,International,Amazon Logistics,17.97,75.79,88.95,69.42,467996.35,personperson,Wyoming,35990,person person,Indiana,93758,PackageStatus.DELIVERED,2025-05-09 15:36:10,,False,,False,"International package weighing 17.97kg, dimensions: 75.79x88.95x69.42cm, volume: 467996.35cm³"
DHL293775598,International,DHL,10.23,89.04,56.18,22.96,114852.05,personperson,Louisiana,13724,personperson,Iowa,08577,PackageStatus.DELIVERED,2025-05-11 06:26:32,,False,885.07,False,"International package weighing 10.23kg, dimensions: 89.04x56.18x22.96cm, volume: 114852.05cm³"
Fed935848829,Overnight,FedEx,6.4,62.14,50.38,88.43,276840.13,person person,Arkansas,30328,personperson,Florida,42315,PackageStatus.PROCESSING,2025-05-14 04:34:21,,False,,True,"Overnight package weighing 6.4kg, dimensions: 62.14x50.38x88.43cm, volume: 276840.13cm³"
UPS998611864,Standard,UPS,19.25,85.12,12.06,70.27,72135.47,person personperson,Georgia,60757,personperson,Maine,35609,PackageStatus.DELIVERED,2025-05-10 13:49:17,,False,,False,"Standard package weighing 19.25kg, dimensions: 85.12x12.06x70.27cm, volume: 72135.47cm³"
DHL976820080,Hazardous Materials,DHL,24.41,78.32,50.19,71.69,281804.84,person personperson,Missouri,18305,person person,Texas,31452,PackageStatus.DELIVERED,2025-05-14 23:40:36,,True,,False,"Hazardous Materials package weighing 24.41kg, dimensions: 78.32x50.19x71.69cm, volume: 281804.84cm³"
Ama873761900,Priority,Amazon Logistics,41.16,94.0,10.22,32.53,31250.92,personperson,Vermont,22360,personperson,Oklahoma,68982,PackageStatus.OUT_FOR_DELIVERY,2025-05-16 22:53:39,,False,1258.64,True,"Priority package weighing 41.16kg, dimensions: 94.0x10.22x32.53cm, volume: 31250.92cm³"
DHL913103383,Standard,DHL,9.69,39.91,36.72,14.26,20897.96,personperson,Connecticut,86654,personperson,New Jersey,35770,PackageStatus.DELIVERED,2025-05-04 03:54:51,,False,1924.31,False,"Standard package weighing 9.69kg, dimensions: 39.91x36.72x14.26cm, volume: 20897.96cm³"
UPS64313656,Fragile,UPS,11.36,79.28,58.09,13.86,63830.5,personperson,Colorado,03470,personperson,Wyoming,96178,PackageStatus.DELIVERED,2025-05-04 15:46:28,,True,,False,"Fragile package weighing 11.36kg, dimensions: 79.28x58.09x13.86cm, volume: 63830.5cm³"
Fed182764241,International,FedEx,35.11,74.18,10.24,17.84,13551.32,person person,Washington,33927,person person,Massachusetts,98670,PackageStatus.DELIVERED,2025-05-03 19:43:30,,False,4969.27,False,"International package weighing 35.11kg, dimensions: 74.18x10.24x17.84cm, volume: 13551.32cm³"
USP470705865,International,USPS,33.15,36.69,14.0,93.25,47898.79,person personperson,California,60036,person person,New Jersey,19845,PackageStatus.DELIVERED,2025-05-11 20:13:41,,False,,False,"International package weighing 33.15kg, dimensions: 36.69x14.0x93.25cm, volume: 47898.79cm³"
Fed272013983,Express,FedEx,36.05,27.26,10.6,15.74,4548.17,personperson,Georgia,35392,person personperson,Ohio,98293,PackageStatus.OUT_FOR_DELIVERY,2025-05-01 20:16:15,,False,,False,"Express package weighing 36.05kg, dimensions: 27.26x10.6x15.74cm, volume: 4548.17cm³"
Fed185663905,Hazardous Materials,FedEx,40.23,46.67,18.42,55.67,47857.35,person person,Oregon,98611,person personperson,Maryland,29433,PackageStatus.DELIVERED,2025-05-04 18:45:18,,True,3777.59,False,"Hazardous Materials package weighing 40.23kg, dimensions: 46.67x18.42x55.67cm, volume: 47857.35cm³"
Ama683104850,Standard,Amazon Logistics,4.33,46.88,78.89,56.04,207256.27,person person,Colorado,36234,person person,Minnesota,92996,PackageStatus.OUT_FOR_DELIVERY,2025-05-03 10:36:17,,False,,False,"Standard package weighing 4.33kg, dimensions: 46.88x78.89x56.04cm, volume: 207256.27cm³"
UPS843666643,Hazardous Materials,UPS,37.54,46.86,73.92,36.83,127575.11,personperson,New Hampshire,92731,personperson,New Hampshire,98318,PackageStatus.DELIVERED,2025-05-03 17:26:55,,True,4827.45,False,"Hazardous Materials package weighing 37.54kg, dimensions: 46.86x73.92x36.83cm, volume: 127575.11cm³"
DHL100135125,Express,DHL,44.05,58.37,69.84,89.09,363180.8,person person,Minnesota,55984,personperson,Virginia,12373,PackageStatus.OUT_FOR_DELIVERY,2025-05-12 12:39:57,,False,,True,"Express package weighing 44.05kg, dimensions: 58.37x69.84x89.09cm, volume: 363180.8cm³"
UPS183383769,International,UPS,15.98,92.77,15.98,66.46,98524.6,person person,New Mexico,67143,personperson,Maryland,97413,PackageStatus.DELIVERED,2025-05-13 20:12:53,,False,2637.29,False,"International package weighing 15.98kg, dimensions: 92.77x15.98x66.46cm, volume: 98524.6cm³"
UPS588717064,International,UPS,31.93,18.2,90.37,59.31,97549.17,person person,Maine,85539,person personperson,Florida,98680,PackageStatus.DELIVERED,2025-05-14 22:24:07,,False,,True,"International package weighing 31.93kg, dimensions: 18.2x90.37x59.31cm, volume: 97549.17cm³"
Fed414621643,Refrigerated,FedEx,13.35,56.9,87.22,31.77,157668.73,person person,Mississippi,10682,personperson,Mississippi,27396,PackageStatus.DELIVERED,2025-05-07 22:43:06,,True,145.04,True,"Refrigerated package weighing 13.35kg, dimensions: 56.9x87.22x31.77cm, volume: 157668.73cm³"
Ama265013559,Fragile,Amazon Logistics,33.74,47.7,78.04,94.85,353079.88,person person,Oklahoma,49305,personperson,Kentucky,09345,PackageStatus.DELIVERED,2025-05-06 16:22:30,,True,904.51,False,"Fragile package weighing 33.74kg, dimensions: 47.7x78.04x94.85cm, volume: 353079.88cm³"
DHL427111301,Express,DHL,9.62,54.76,78.37,39.28,168571.74,personperson,New Mexico,44868,person person,Louisiana,76250,PackageStatus.DELIVERED,2025-05-12 12:23:14,,False,863.34,False,"Express package weighing 9.62kg, dimensions: 54.76x78.37x39.28cm, volume: 168571.74cm³"
Fed878739125,Fragile,FedEx,39.08,61.08,48.82,8.04,23974.68,person personperson,New York,60740,person personperson,Hawaii,33566,PackageStatus.EXCEPTION,2025-05-15 16:47:39,,True,,True,"Fragile package weighing 39.08kg, dimensions: 61.08x48.82x8.04cm, volume: 23974.68cm³"
Ama47418143,Fragile,Amazon Logistics,19.86,84.4,51.68,69.62,303667.96,person personperson,Tennessee,31863,person person,Iowa,24537,PackageStatus.OUT_FOR_DELIVERY,2025-05-04 12:17:52,,True,4950.84,False,"Fragile package weighing 19.86kg, dimensions: 84.4x51.68x69.62cm, volume: 303667.96cm³"
Fed173559517,Fragile,FedEx,7.35,89.07,61.01,55.61,302193.68,personperson,Montana,87086,personperson,Alaska,16870,PackageStatus.DELIVERED,2025-05-13 07:46:46,,True,,True,"Fragile package weighing 7.35kg, dimensions: 89.07x61.01x55.61cm, volume: 302193.68cm³"
Fed636170438,Standard,FedEx,49.54,50.06,20.68,50.67,52455.65,person personperson,Michigan,81584,personperson,New York,15030,PackageStatus.OUT_FOR_DELIVERY,2025-05-10 10:47:17,,False,,True,"Standard package weighing 49.54kg, dimensions: 50.06x20.68x50.67cm, volume: 52455.65cm³"
Fed585950185,Fragile,FedEx,8.92,91.95,79.08,74.01,538156.76,personperson,New York,67820,personperson,Nevada,99268,PackageStatus.OUT_FOR_DELIVERY,2025-05-07 04:56:56,,True,,True,"Fragile package weighing 8.92kg, dimensions: 91.95x79.08x74.01cm, volume: 538156.76cm³"
UPS274997279,Standard,UPS,16.68,8.06,97.08,31.17,24389.43,personperson,Maryland,50767,personperson,Alabama,48932,PackageStatus.DELIVERED,2025-05-16 14:54:40,,False,,True,"Standard package weighing 16.68kg, dimensions: 8.06x97.08x31.17cm, volume: 24389.43cm³"
DHL727886229,Fragile,DHL,39.69,38.1,19.81,14.97,11298.77,personperson,Illinois,19027,person person,Iowa,63948,PackageStatus.DELIVERED,2025-05-14 02:18:29,,True,3074.91,False,"Fragile package weighing 39.69kg, dimensions: 38.1x19.81x14.97cm, volume: 11298.77cm³"
DHL242218207,Fragile,DHL,22.56,34.61,49.77,11.48,19774.76,person personperson,Oregon,33735,person person,Idaho,85574,PackageStatus.DELIVERED,2025-05-16 10:54:42,,True,,False,"Fragile package weighing 22.56kg, dimensions: 34.61x49.77x11.48cm, volume: 19774.76cm³"
DHL250836936,Hazardous Materials,DHL,20.41,24.36,27.39,84.32,56260.02,personperson,South Carolina,67844,person person,Alabama,46556,PackageStatus.RETURNED,2025-05-09 05:00:08,,True,1454.24,False,"Hazardous Materials package weighing 20.41kg, dimensions: 24.36x27.39x84.32cm, volume: 56260.02cm³"
UPS63791087,Fragile,UPS,25.39,82.34,90.43,15.33,114147.28,person personperson,Michigan,40612,personperson,Louisiana,75619,PackageStatus.DELIVERED,2025-05-06 23:39:45,,True,4779.29,True,"Fragile package weighing 25.39kg, dimensions: 82.34x90.43x15.33cm, volume: 114147.28cm³"
USP143120700,Overnight,USPS,17.69,9.36,67.06,21.14,13269.19,personperson,Idaho,25042,person person,Hawaii,13855,PackageStatus.PROCESSING,2025-05-10 04:55:27,,False,,False,"Overnight package weighing 17.69kg, dimensions: 9.36x67.06x21.14cm, volume: 13269.19cm³"
UPS112152603,Refrigerated,UPS,16.05,42.48,56.1,19.4,46232.68,person personperson,Massachusetts,48930,personperson,Delaware,94650,PackageStatus.DELIVERED,2025-05-02 15:10:10,,True,3794.42,False,"Refrigerated package weighing 16.05kg, dimensions: 42.48x56.1x19.4cm, volume: 46232.68cm³"
Fed607102208,Overnight,FedEx,16.71,85.01,75.4,58.89,377470.41,person personperson,Illinois,03751,personperson,Illinois,12486,PackageStatus.IN_TRANSIT,2025-05-09 03:27:57,,False,,True,"Overnight package weighing 16.71kg, dimensions: 85.01x75.4x58.89cm, volume: 377470.41cm³"
DHL995425145,Priority,DHL,30.5,14.27,13.67,64.25,12533.31,personperson,Wisconsin,61765,personperson,Minnesota,96931,PackageStatus.IN_TRANSIT,2025-05-08 11:11:31,,False,,False,"Priority package weighing 30.5kg, dimensions: 14.27x13.67x64.25cm, volume: 12533.31cm³"
USP82631209,Refrigerated,USPS,33.78,20.97,19.98,66.56,27887.35,person personperson,Louisiana,11200,person personperson,Nebraska,88584,PackageStatus.IN_TRANSIT,2025-05-14 03:48:43,,True,,False,"Refrigerated package weighing 33.78kg, dimensions: 20.97x19.98x66.56cm, volume: 27887.35cm³"
Fed967897890,Refrigerated,FedEx,29.88,95.38,96.59,94.1,866920.17,personperson,Maine,13836,person person,Iowa,35234,PackageStatus.DELIVERED,2025-05-04 04:42:14,,True,,True,"Refrigerated package weighing 29.88kg, dimensions: 95.38x96.59x94.1cm, volume: 866920.17cm³"
DHL434075040,Fragile,DHL,12.2,10.42,59.78,39.77,24773.04,personperson,Arkansas,12190,person personperson,Nevada,83171,PackageStatus.DELIVERED,2025-05-12 15:44:43,,True,,True,"Fragile package weighing 12.2kg, dimensions: 10.42x59.78x39.77cm, volume: 24773.04cm³"
USP369099606,Refrigerated,USPS,15.45,40.96,51.45,5.71,12033.21,personperson,North Dakota,98316,person personperson,Iowa,39097,PackageStatus.OUT_FOR_DELIVERY,2025-05-14 13:09:31,,True,,True,"Refrigerated package weighing 15.45kg, dimensions: 40.96x51.45x5.71cm, volume: 12033.21cm³"
Ama148441167,Priority,Amazon Logistics,18.68,13.5,92.56,85.57,106924.85,personperson,Oklahoma,50798,person personperson,Kansas,95955,PackageStatus.OUT_FOR_DELIVERY,2025-05-04 04:11:14,,False,4036.68,True,"Priority package weighing 18.68kg, dimensions: 13.5x92.56x85.57cm, volume: 106924.85cm³"
UPS7930220,Express,UPS,10.23,35.0,52.89,13.63,25231.17,person person,New Mexico,65356,personperson,Illinois,55974,PackageStatus.IN_TRANSIT,2025-05-07 20:42:29,,False,3684.14,False,"Express package weighing 10.23kg, dimensions: 35.0x52.89x13.63cm, volume: 25231.17cm³"
UPS95525581,Fragile,UPS,24.25,87.69,36.1,44.1,139603.36,personperson,Michigan,39515,person personperson,Delaware,11711,PackageStatus.OUT_FOR_DELIVERY,2025-05-17 12:08:28,,True,,True,"Fragile package weighing 24.25kg, dimensions: 87.69x36.1x44.1cm, volume: 139603.36cm³"
Fed780720021,Express,FedEx,30.07,89.59,33.08,63.19,187272.23,personperson,Pennsylvania,79505,person person,Nebraska,70816,PackageStatus.DELIVERED,2025-05-02 10:14:13,,False,1237.62,False,"Express package weighing 30.07kg, dimensions: 89.59x33.08x63.19cm, volume: 187272.23cm³"
USP991871799,Priority,USPS,30.07,57.63,13.4,84.25,65061.39,person personperson,Maryland,72146,personperson,Indiana,58397,PackageStatus.IN_TRANSIT,2025-05-03 01:47:15,,False,,False,"Priority package weighing 30.07kg, dimensions: 57.63x13.4x84.25cm, volume: 65061.39cm³"
Ama553054444,Standard,Amazon Logistics,40.16,41.03,5.86,13.86,3332.44,personperson,California,90782,person personperson,Oregon,34367,PackageStatus.DELIVERED,2025-05-16 10:46:17,,False,,False,"Standard package weighing 40.16kg, dimensions: 41.03x5.86x13.86cm, volume: 3332.44cm³"
Ama19765217,Overnight,Amazon Logistics,22.14,90.87,97.79,83.47,741729.22,person person,New Jersey,50414,person personperson,Texas,85130,PackageStatus.IN_TRANSIT,2025-05-02 18:36:20,,False,,True,"Overnight package weighing 22.14kg, dimensions: 90.87x97.79x83.47cm, volume: 741729.22cm³"
DHL425987566,Standard,DHL,36.85,24.4,36.58,10.25,9148.66,person person,Wyoming,60307,personperson,New York,60327,PackageStatus.DELIVERED,2025-05-09 12:40:30,,False,,True,"Standard package weighing 36.85kg, dimensions: 24.4x36.58x10.25cm, volume: 9148.66cm³"
DHL831251461,International,DHL,12.42,35.46,75.82,83.84,225410.31,person personperson,Maryland,49203,person person,New Jersey,08375,PackageStatus.DELIVERED,2025-05-16 10:28:26,,False,,False,"International package weighing 12.42kg, dimensions: 35.46x75.82x83.84cm, volume: 225410.31cm³"
